Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Commute,Moving Time,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade
623336976,"Jun 28, 2016, 10:07:39 AM",Morning Run,Run,2614,7.22,false,2602,7.30000019073486,30.7691993713379,,18.2000007629395,49.0999984741211,15.6999998092651,-0.02631470002234
625446761,"Jun 30, 2016, 10:07:13 AM",Morning Run,Run,2575,6.85,false,2535,4,30.108699798584,,18.1000003814697,49.4000015258789,15.3000001907349,-0.026252500712872
627539067,"Jul 2, 2016, 12:40:09 PM",Morning Run,Run,4940,13.2,false,4826,9.30000019073486,97.0543975830078,,-0.200000002980232,41.7999992370605,31.1000003814697,-0.030302999541164
629861336,"Jul 4, 2016, 3:15:03 PM",Lunch Run,Run,1998,5.62,false,1956,5.80000019073486,19.7450008392334,,35,55,19.5,-0.032022200524807
631014501,"Jul 5, 2016, 12:00:00 PM",Morning Ride,Ride,2700,11.58,true,2700,,,,,,,0
631368220,"Jul 5, 2016, 9:07:08 PM",Afternoon Ride,Ride,2970,11.81,true,2532,13,57.9696998596191,,0,40.5999984741211,13.1000003814697,0.157450005412102
631941347,"Jul 6, 2016, 12:18:27 PM",Morning Ride,Ride,2747,11.71,true,2418,13.1999998092651,52.1946983337402,,0,41.5,11,-0.152864992618561
632505522,"Jul 6, 2016, 9:06:25 PM",Afternoon Ride,Ride,2812,11.08,true,2415,11.1999998092651,58.0691986083984,,-0.100000001490116,40.5,18,0.204757004976273
632950211,"Jul 7, 2016, 10:14:08 AM",Morning Run,Run,2292,6.8,false,2243,4,30.6478996276855,,18.2000007629395,48.9000015258789,15.8999996185303,-0.023513900116086
633997620,"Jul 8, 2016, 10:14:37 AM",Morning Run,Run,2616,6.87,false,2543,3.59999990463257,30.1875,,18.1000003814697,49.5999984741211,15.1999998092651,-0.023288600146771
636605460,"Jul 10, 2016, 1:49:59 PM",Morning Run,Run,4962,12.99,false,4865,7.90000009536743,56.1627998352051,,-0.300000011920929,45.5999984741211,5.09999990463257,-0.000769810983911
638318160,"Jul 12, 2016, 10:07:17 AM",Morning Run,Run,2579,6.89,false,2548,4.30000019073486,30.9347991943359,,18.2000007629395,49.5999984741211,18.5,-0.021758999675512
638437146,"Jul 12, 2016, 12:24:58 PM",Morning Ride,Ride,2609,9.79,true,2183,13,51.6287002563477,,-0.200000002980232,28.2000007629395,21.7999992370605,-0.057205300778151
638439651,"Jul 12, 2016, 12:10:58 PM",Morning Ride,Ride,489,1.77,true,489,,,,,,,0
638468311,"Jul 6, 2016, 9:00:00 PM",Afternoon Ride,Ride,360,0.64,true,360,,,,,,,0
639029763,"Jul 12, 2016, 9:12:15 PM",Afternoon Ride,Ride,2304,8.44,true,1917,8.39999961853027,41.75830078125,,0,24.6000003814697,13.1999998092651,0.211916998028755
639038924,"Jul 12, 2016, 9:00:00 PM",Afternoon Ride,Ride,622,2.25,true,622,,,,,,,0
639437587,"Jul 13, 2016, 10:10:38 AM",Morning Run,Run,2618,6.87,false,2575,3.90000009536743,30.2509994506836,,18.1000003814697,49.7000007629395,14.8000001907349,-0.021817199885845
640622133,"Jul 14, 2016, 12:26:21 PM",Morning Ride,Ride,2867,11.79,true,2569,12.3999996185303,62.5853996276855,,-0.100000001490116,41.9000015258789,20.1000003814697,-0.151796996593475
641144934,"Jul 14, 2016, 9:05:08 PM",Afternoon Ride,Ride,2836,11.22,true,2287,11.5,58.4390983581543,,0,41,16.2000007629395,0.245094001293182
641657619,"Jul 15, 2016, 12:22:49 PM",Morning Ride,Ride,2822,11.52,true,2483,9.5,62.8418998718262,,0,41.7999992370605,20.7000007629395,-0.164070993661881
642093178,"Jul 15, 2016, 8:14:53 PM",Afternoon Ride,Ride,2822,10.41,true,2345,9.39999961853027,56.3740997314453,,-0.200000002980232,38.2000007629395,50,0.28235599398613
642095229,"Jul 15, 2016, 8:00:00 PM",Afternoon Ride,Ride,323,1.12,true,323,,,,,,,0
642630715,"Jul 16, 2016, 11:50:40 AM",Morning Run,Run,3388,8.6,false,3305,4.90000009536743,43.1286010742187,,18.1000003814697,49.0999984741211,21.7000007629395,-0.013941800221801
643951960,"Jul 17, 2016, 12:51:37 PM",Morning Run,Run,3880,9.58,false,3692,5.30000019073486,38.6544990539551,,0.200000002980232,41.2000007629395,8,-0.01460300013423
645021379,"Jul 18, 2016, 12:19:17 PM",Morning Ride,Ride,2925,11.86,true,2494,14.6999998092651,62.5502014160156,,-0.200000002980232,42,16.5,-0.158420994877815
645556825,"Jul 18, 2016, 9:11:44 PM",Afternoon Ride,Ride,3007,11.7,true,2610,11.1000003814697,58.7337989807129,,0,41.0999984741211,15.1999998092651,0.162396997213364
646013242,"Jul 19, 2016, 10:09:22 AM",Morning Run,Run,2104,5.48,false,2077,6.69999980926514,24.2581005096436,,24.7000007629395,50.4000015258789,14,-0.043739698827267
646146791,"Jul 19, 2016, 12:17:36 PM",Morning Ride,Ride,3486,13.66,true,3137,11.1999998092651,65.1872024536133,,-0.300000011920929,41.7999992370605,50,-0.141204997897148
647217270,"Jul 19, 2016, 9:03:26 PM",Afternoon Ride,Ride,2786,10.96,true,2462,10.1999998092651,50.9056015014648,,-0.300000011920929,33.2000007629395,20,0.100368000566959
647217284,"Jul 20, 2016, 10:08:28 AM",Pace figure-eight ,Run,2790,8.63,false,2761,5.09999990463257,42.6242980957031,,18,49.0999984741211,20.5,-0.027788100764155
647336781,"Jul 20, 2016, 12:20:06 PM",Morning Ride,Ride,3129,11.53,true,2634,14.6000003814697,63.3036994934082,,0,41.7999992370605,21.3999996185303,-0.165539994835854
647888130,"Jul 20, 2016, 9:02:09 PM",Afternoon Ride,Ride,3292,11.36,true,2774,9.69999980926514,58.681999206543,,-0.100000001490116,40.7000007629395,15.8000001907349,0.162749007344246
649500447,"Jul 22, 2016, 11:44:13 AM",Cross Island Trail,Run,1828,4.84,false,1813,4,0,,0,3.70000004768372,9.60000038146973,-0.035115301609039
